Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
1230,1230,10,0,-1,0,0,0,4.0
1240,1240,9,0,-1,0,0,0,7.0
1250,1250,9,0,-1,1,0,1,10.666666666666666
1260,1260,9,0,-1,1,0,1,14.857142857142858
1270,1270,8,1,-1,1,0,1,3.4285714285714284
1280,1280,28,2,-1,0,0,0,0.0
1290,1290,27,2,-1,1,0,1,0.0
1300,1300,24,2,-1,1,0,1,2.0
1310,1310,23,3,-1,1,0,1,6.6
1320,1320,21,0,-1,0,0,0,8.25
1330,1330,19,0,-1,0,0,0,17.666666666666668
1340,1340,19,0,-1,1,0,1,18.75
1350,1350,19,0,-1,1,0,1,21.0
1360,1360,18,0,-1,1,0,1,4.4
1370,1370,18,2,-1,0,0,0,0.0
1380,1380,15,2,-1,0,0,0,1.75
1390,1390,13,2,-1,1,0,1,7.666666666666667
1400,1400,13,2,-1,2,0,2,11.75
1410,1410,13,0,-1,2,0,2,3.2
1420,1420,9,0,-1,0,0,0,0.0
1430,1430,8,0,-1,0,0,0,0.0
1440,1440,8,0,-1,1,0,1,3.3333333333333335
1450,1450,8,0,-1,2,0,2,6.5
1460,1460,8,1,-1,2,0,2,9.2
1470,1470,7,2,-1,0,0,0,0.0
1480,1480,6,2,-1,0,0,0,0.0
1490,1490,27,2,-1,2,0,2,1.8333333333333333
1500,1500,26,3,-1,3,0,3,9.0
1510,1510,26,0,-1,0,0,0,5.142857142857143
1520,1520,26,0,-1,0,0,0,7.0
1530,1530,25,0,-1,1,0,1,11.375
1540,1540,24,0,-1,2,0,2,2.875
1550,1550,23,1,-1,2,0,2,5.375
1560,1560,21,2,-1,0,0,0,0.0
1570,1570,19,2,-1,2,0,2,5.5
1580,1580,19,2,-1,3,0,3,13.0
1590,1590,19,2,-1,3,0,3,23.0
1600,1600,19,0,-1,4,0,4,5.0
1610,1610,17,0,-1,2,0,2,10.0
1620,1620,16,0,-1,2,0,2,14.285714285714286
1630,1630,15,0,-1,2,0,2,10.428571428571429
1640,1640,15,0,-1,2,0,2,11.625
1650,1650,13,2,-1,2,0,2,8.0
1660,1660,12,2,-1,1,0,1,1.25
1670,1670,12,2,-1,1,0,1,4.444444444444445
1680,1680,12,2,-1,2,0,2,8.4
1690,1690,12,3,-1,3,0,3,10.909090909090908
1700,1700,33,0,-1,4,0,4,4.909090909090909
1710,1710,31,0,-1,3,0,3,7.7
1720,1720,27,0,-1,2,0,2,7.0
1730,1730,25,0,-1,2,0,2,10.857142857142858
1740,1740,24,1,-1,2,0,2,13.714285714285714
